Job Title,Company,Location,Link
Associate General Counsel,United Launch Alliance,"Cape Canaveral, FL",https://www.google.com/search?fc=ErcECvcDQUEtS1RoZE0wbnBYOHpaSVRGNXduWUc2WktjYlJ5S1VxVXhCSG1tUWV0YWNJT3Y5WVVzMmFhLTZ3QkVuYmxtYk5ldWhtd2ZqNFA1RnJMYUNySXplZmdsUG1WeHdiN0R4RGRjZW1CbGQ5N01FZ3R3alZQUXdCdEJMMnQ4bzlJb0JEZUhWa2hudi1GT1BkVlhrbEY5bXhvcHBFbk9pZUhhc0xrRTVNcUxzUTUtX2NaTkpDUmRCWUJSZ0lRQWd6Q3Y5X29wRjE0UXRPR3ZaM25IYWtuRGtLaVpfSmlod1ZSYlgteXpubEFrN1J4V1NPSk5tWGFibEtFc0RGN3JUMUwxaG1faVlLTkZqMVA4SnQtbk1objYxSU05d0htUG9vLU1kTHFHcmQyY3VzWFZzZEtTeEpNMF9KR2dfTlJIZEozeU43UkxZMFhwZDlaQ3YtNlllaDhSaUV5YkMzUVdRckd3ZkxsZnhvVk8xNDkxYVlJSEdoaS1iazRfWklZQUE2YVFJSHNNRE9yREMtUmxYVTF0TkRaLUstZmpIZ3M0MjR6aGxJcml3MVZGclN5ZWlTc3p5RVlRbDMyTmRBcVdTb3dEY01RM2IzUmlXWU5pcXY2YlJVZkhIeGZ4Q2FZUDU1LTdiRTNPaEcwOU1ncHBwVU9VWGxNMXFIczQSFzNEYmtaNU9NTks2czVOb1BxZl9BLUF3GiJBQ0RYTDRrd3VDTlhxUkFUNks3YzUxWVRWTkVlbVNNZlNB&fcv=3&vet=12ahUKEwiT6o2xoKiMAxUuFlkFHak_EM8Qw40IegQICxAB..i&ei=3DbkZ5OMNK6s5NoPqf_A-Aw&opi=89978449&udm=8&cs=0&q#vhid=vt%3D20/docid%3Dx3u2JwrvDeJcZseXAAAAAA%3D%3D&vssid=jobs-detail-viewer
Business Systems Integration Consultant,United Launch Alliance,"Centennial, CO",https://www.google.com/search?fc=EswECowEQUEtS1RoZldxZ21zNHFEdWRqVTlMcXcxUDZ3dGVaZXFMWXFyeUVkRm93UkxabzhlaUJZLUV4VkU4bzgzWHNDVTJtcG5yMk51ekwwOURYRl8wUW9vdEs3NWk3b2E4VlRlRkl2LU01dnhjU2lDUGZQUDFoTXBVU1FaRkpFUlRrenlWWkNvU3dsMnNMVnFjaUsxLTc5ZnUwaVZpT0xkOTN0NkdEeG5semN3NDVOdExXc1dWREl4aEVKWkRSUm5kM0ZyUWZVQ3Q5VlRCeE5KQmkzdVFjbnh5UjExc1pyMWVzd0pzQjAzNWVWSVdrV19BY0VkcEFUaXdtVHNuendCbHowbDlaZGhnZWR4N19jN0tmTzhnRzI3QjZja1pBTmZmeVVjcktXZVdncjEzdFVMN2p2aERGdW9nYlh1bHJLakJOQ0ZQaFM2bjdGQWw2RGlmWHpmVmlGU2pSUUN4aHRBZk9acmNGSTYwSnhGRXk0Sl9qWjhvN0lRU2JFRmMybENldlVwQkcwR3ltOHVXZFZvaDdfUzVkT0RGTGRadDJ5ckFFcTZmcjJya3Z4T2FUVUxMNkc2ZDhKcVZtMGFuazU5M3J6dVRYdTAzdDhQNzV5RXJwam5JUnVuZHRxYkc5QkpoQVNvS2Z3VFdYam1qY19zYkhRRDJ3QnZmTkhRTWwtMVFnQ05sbDlKVnlWZk9VYTcSFzd6YmtaOW1TQXJPZzVOb1B1dF9za0EwGiJBQ0RYTDRuOHAxeTRmck50UURRaTJKZWhiRWlaWnBpQzJ3&fcv=3&vet=12ahUKEwiZxuO5oKiMAxUzEFkFHbovG9IQw40IegQICxAB..i&ei=7zbkZ9mSArOg5NoPut_skA0&opi=89978449&udm=8&cs=0&q#vhid=vt%3D20/docid%3DQCOvB6NhRrsY9hSAAAAAAA%3D%3D&vssid=jobs-detail-viewer
Subsystem Responsible for Propulsion,Blue Origin,"Merritt Island, FL",https://www.google.com/search?fc=EswECowEQUEtS1RoZjdFRFBWUXpkM0Zpc2R2RWFMNEg1MGltME12bXltU0g0OXZpeUR0ZkFxeUd6aHVRdWRXTXFXRjJUQ2ozaEdXdUZGSE05emVUa2ZWYVo5MG5RakRXLUhFZ2VTQk1BSF90YXFNeXlpbjktZ0VoVjdaS0VFampieXhUT1dfcTBmbGlZX1JaSk1XYkFGb25SaC1WdzJlV1NnQVhCc0tRWWlzMU96MmxTY0dqNzBVQ2RwOWtEMjNfWmdoNUE1OWZoMDBnQVMyREVaa293dVltWGxZSFhmS2pWZW15eEhsRUswWUVUZFF5ZWJQSnJyalF0TzBLaUhNZE5rME5rMlRqTk5mZkpoWmFYVXl6b1g0RE9GZFRCZW5XUWhQcXI0NUZXOTNWZTJXTnVTdGhNT0NzWi1EU3ZLYlVNV2ZHLU9qMGJxc3lzMlZqc0FpR2h6MDRxU0NBbFdNMUFSM0dDUmhJbVd0Z1l4RDhlMmVPM1h6dkx3RC1sb3FDcFhfdW5TcEs1UVhHWEhLNXNvME9nMDB0YmxDbzd0MmRhcllUMUVWNUlRNVZ3S1U5Tzh0Vll3dzMxRXR6VnNwWUJVZFppVmI4UlN1TElZOXROaDhkRFdfTHBRYUJ1OFBlRUZ0NV83Y2NSODk0YVlOR2Y5Z2E5Vzk2X24tTkVUcU5XWGpGbmg3STVXZFlZdUtzNEUSFzhEYmtaLUQwSThUazVOb1B3YWJlOFFzGiJBQ0RYTDRsYUdveDgtWHdjeEIzc3g2ZEFZcDhoS2NhZ19n&fcv=3&vet=12ahUKEwjgrMK6oKiMAxVEMlkFHUGTN74Qw40IegQICxAB..i&ei=8DbkZ-D0I8Tk5NoPwabe8Qs&opi=89978449&udm=8&cs=0&q#vhid=vt%3D20/docid%3DsOTKVH-RJN6_Zc9-AAAAAA%3D%3D&vssid=jobs-detail-viewer
"SpaceX Systems Engineer, Rocket Propulsion",SpaceX,"Cape Canaveral, FL",https://www.google.com/search?fc=EswECowEQUEtS1RoZjdFRFBWUXpkM0Zpc2R2RWFMNEg1MGltME12bXltU0g0OXZpeUR0ZkFxeUd6aHVRdWRXTXFXRjJUQ2ozaEdXdUZGSE05emVUa2ZWYVo5MG5RakRXLUhFZ2VTQk1BSF90YXFNeXlpbjktZ0VoVjdaS0VFampieXhUT1dfcTBmbGlZX1JaSk1XYkFGb25SaC1WdzJlV1NnQVhCc0tRWWlzMU96MmxTY0dqNzBVQ2RwOWtEMjNfWmdoNUE1OWZoMDBnQVMyREVaa293dVltWGxZSFhmS2pWZW15eEhsRUswWUVUZFF5ZWJQSnJyalF0TzBLaUhNZE5rME5rMlRqTk5mZkpoWmFYVXl6b1g0RE9GZFRCZW5XUWhQcXI0NUZXOTNWZTJXTnVTdGhNT0NzWi1EU3ZLYlVNV2ZHLU9qMGJxc3lzMlZqc0FpR2h6MDRxU0NBbFdNMUFSM0dDUmhJbVd0Z1l4RDhlMmVPM1h6dkx3RC1sb3FDcFhfdW5TcEs1UVhHWEhLNXNvME9nMDB0YmxDbzd0MmRhcllUMUVWNUlRNVZ3S1U5Tzh0Vll3dzMxRXR6VnNwWUJVZFppVmI4UlN1TElZOXROaDhkRFdfTHBRYUJ1OFBlRUZ0NV83Y2NSODk0YVlOR2Y5Z2E5Vzk2X24tTkVUcU5XWGpGbmg3STVXZFlZdUtzNEUSFzhEYmtaLUQwSThUazVOb1B3YWJlOFFzGiJBQ0RYTDRsYUdveDgtWHdjeEIzc3g2ZEFZcDhoS2NhZ19n&fcv=3&vet=12ahUKEwjgrMK6oKiMAxVEMlkFHUGTN74Qw40IegQICxAB..i&ei=8DbkZ-D0I8Tk5NoPwabe8Qs&opi=89978449&udm=8&cs=0&q#vhid=vt%3D20/docid%3DujMC3it-5ZmhUx-YAAAAAA%3D%3D&vssid=jobs-detail-viewer
Industrial Engineer - Early Career,Lockheed Martin,"Stratford, CT",https://www.google.com/search?q=Lockheed+Martin+jobs&udm=8#vhid=vt%3D20/docid%3Dv3jtJOngvVvd8yaIAAAAAA%3D%3D&vssid=jobs-detail-viewer
CNC Programmer - Early Career,Lockheed Martin,"Stratford, CT",https://www.google.com/search?fc=EswECowEQUEtS1RoY29qMTdiQ2V6Uy1NdGZ2OGxXbklzM3RiMGpWV3ZQRXdGcnhaSFdsaHZuSDkwaUh6T2F2cXBhak5EMV9nTm1aMG9rMkJyNk1FSFhMR09JRlVGbTBXYUNrYjFvVlBZVXk2OHpIZDZJc3ZhRUtDQ21uQndDTG5paWtVZ2FadktNeWREelhMU3ptd0RaVWNWS1VqaWZuekFmZklKbWNleVhPRXlkazFlc2ticUlSbTR6Y05KcXRTblMwdzJZMmE5a0szMlc1akdzY1JISmtiYTF2MHpnVG5ZRHVlci1BWGphckNmaFo1V0M5X3Y0dlZrRlpqalBsdWdHc0hhZW01VkFSWmdRWGFlc3ppQ0NSd1ZLYWlGWkhuVmRLUWRZdWdUTXRWekRMUVczdDdTNnZYYmhvQzNJZmJnSHVyV0xqMkRvRXhRUHM2NDBFYlNjRS0yRFhNX19iVVZ0SnNBaTFYcXhYd1lJOF9KRXlmSmFjYnFiSXlsbk1BM09aZkVFOS0td1NyWWFLZXVVWDNBZllOVkV4ZmR1V3BYU0tFYmgyczRCWFJGQ00tMmt6YW84Qjloc2tNSEV2QkRKOWtldWtfQ2x0eFgxLUU1QW0zZkE5UTRUem5tWVVmMG1sNGFaenFvZjYya0RTd2NtbFpqTVZQY0lUaDFrbExQcXV5SnZBdDZ5cWYzTWlmTWwSFzJEYmtaOGVnQ0x5cTVOb1A4cWZvMlFzGiJBQ0RYTDRtRGdXQm5RSXozR3hXSDBnSE5YR21nX1Bod1J3&fcv=3&vet=12ahUKEwjH7O2uoKiMAxU8FVkFHfITOrsQw40IegQICxAB..i&ei=2DbkZ8egCLyq5NoP8qfo2Qs&opi=89978449&udm=8&cs=0&q#vhid=vt%3D20/docid%3D6_-Qqic7_xm5NHxjAAAAAA%3D%3D&vssid=jobs-detail-viewer
Research Assistant - Aerospace and Defense,ARCTOS LLC,"Ohio City, OH",https://www.google.com/search?q=Arctos+Aerospace+jobs&udm=8#vhid=vt%3D20/docid%3DFXwjC78clhn-fVcRAAAAAA%3D%3D&vssid=jobs-detail-viewer
Aerospace Research Assistant,ARCTOS LLC,"Ohio City, OH",https://www.google.com/search?q=Arctos+Aerospace+jobs&udm=8#vhid=vt%3D20/docid%3DEbMY_i6p86v8QIVzAAAAAA%3D%3D&vssid=jobs-detail-viewer
Call Center Registration Associate - Rensselaer - FT - DAYS,St. Peter's Health Partners,"New York, NY",https://www.google.com/search?fc=EvcECrcEQUEtS1RoY2FMRTJIbzlBY0x3Q1lBZzJzZ0VUZURSRHRIdkMyVGp1VmFKcjBKVXRrNmJJVXUwWTJOR2RQc3o4QUF0MjBYOE9OTkNKcDBELWd3Zm1Qamp0SGRUZno3a01HZUV2WEJUZ3VwbW8yZGFKUjFxd2MwcXItVzY0cnRpNU9UVzZocGVmRlV6YU00S2VRNFp3M1ZxOE1kLXpvanRXM05ZajVTcHpRZ1BfVjRxcC11eEJ0aW5xM2dxdW1oX2dLYmZtTl9hU1BSLTVVUngwdXBCdGhhMEFaaDZTdF9qMTBDUWtZdXBYVks2Rm4wejljMXhCdWRWTmdMNkdQWmRuTXdXVVQ5NWY2UnRVek5zVU5UNkRFVkdINE9aX2hob0lUOE9lQTRDbGpNUWxMZzFWdlFjWFZFbmVOWWRjLXB3WmxWR3RUcUplZGRkVWJwMUQ4cUhGTF9lM3J2T2xOYUtyZld1aHRzNjNQVkE5MUhqdFR5bGItdWdoQXZicFBhWnZzN0Z6MnBibXlQaUZGeDJQWEs3aHduaUZFXzgtY084OGhrRHk1VHVFcjJSTFBMdTZCeGxGeXd0M3ZWWlUxVEdET1htR0c1M2tkOHByTUJZdFRLTkVnMTZ3Wm5nV085a0NVbzRsaW5OSmRhb0V1NFFZc3ZmbXIxU1RFNjZXWXVmYndneXYxSXZyRWpiaExUTzlkYnhxN0VpdXhZM3hlOEozV3RoUGJxMlFfXzhPdC1BZl8zZS10TTVNEhd6RGJrWjdxN0laMnRpTE1QMExLZ3dBZxoiQUNEWEw0bGFTS2t2N0JmZENBZkI4VGtBekd5NXRDSjVwQQ&fcv=3&vet=12ahUKEwi60aqpoKiMAxWdFmIAHVAZCIgQw40IegQIIBAN..i&ei=zDbkZ7q7IZ2tiLMP0LKgwAg&opi=89978449&udm=8&cs=0&q#vhid=vt%3D20/docid%3DZJ9SHQi3Pd1LOS10AAAAAA%3D%3D&vssid=jobs-detail-viewer
Junior Python Engineer - Healthcare AI,Statcare Urgent &Walk-In,"New York, NY",https://www.google.com/search?fc=EvcECrcEQUEtS1RoZkxzS3FQWVU5MHZzTENpc1NIbDdnYnFhNlZZSW5PQWc3TFZPeWVvMDA0S2hKLXRLczJGaW1meDU0b2cxVzllbVBiMnVvZzY4WFBxT1NGSkRPM3VmdlNEblM1Y2xaNTJmUThJT1gwZTlYWkVSTjFwTWIwV0NMTTNTSjJWLTBYenBTdHM3N1BlSzZibUhpamlsWGROWlJFdGZybWVhYzFxaHZacUVzY1p5UXJNajczTnVmQ0JOZFpwSElUZTNtZTdUQjdMVkUwNkVzNS1IazByaWU2MUppNkNXbExfUkVNVmhyWTlLcnAwM2ZTelV5ZGJFaEQ1OW83UHlmWFUxQXlWMFc2bldWQm9Jdmw3YUcybUxWLTFtd1B1Y3FkWVQ4OHk2SWZFQ3RBd1pkLUlzMlFZQzJsc0c5SF9FeUxvODIzSzBxd3h0d1FjQVc0SkluQXM5WUJtYk9sRFQ2Q3lCRW1hSlV0dWUyanBuVk9UTzBfRDQwaDFuWUN4Z0tnSTdqd21MZFo1NTJobE5ObmpLS0VxUUpaOVB3MWpicVd5U1JkeG9OSnlDUGpzS3F1aS1uekJDd2dtTWd1M3hERkc1UzYwMS16WTc4bFd1VHBGWjRQbUw3MS1OeHVpdkxLMW51Um9ZM1BQQ3dkN1hFYUt3OXhYbWpXS1ZENGFJOVpveFJ6WDJNZzlnbHhZR19xU3dGYWoyVXRoak94ZmhJLWYxNDh3eU84eUhmaWtIWDBtUE5FTjVVEhc0RGJrWjhLQ080dWc1Tm9QLWFhb2dRURoiQUNEWEw0a3gxWEJoanBVZ0dTWlExelZfT2M0N3VNYTUxdw&fcv=3&vet=12ahUKEwjC8oizoKiMAxULEFkFHXkTKkAQw40IegQIDBAB..i&ei=4DbkZ8KCO4ug5NoP-aaogQQ&opi=89978449&udm=8&cs=0&q#vhid=vt%3D20/docid%3DNysmpA90q1UDa38OAAAAAA%3D%3D&vssid=jobs-detail-viewer
